School_or_Fiscal_Year,Goal_Type,Applied_To,Goal_Name,Goal,Attribute1,loaddate
2025/2026,Utilization Pod Targets,LA,Launches per User Goal,79.29462366,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MA,Launches per User Goal,37.61201814,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MD,Launches per User Goal,32.65603175,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MI,Launches per User Goal,29.85893911,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MN,Launches per User Goal,108.9991334,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MO,Launches per User Goal,38.77688574,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MS,Launches per User Goal,62.38476348,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MT,Launches per User Goal,44.13595506,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NC,Launches per User Goal,35.52968897,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,ND,Launches per User Goal,107.2785553,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NE,Launches per User Goal,74.8782167,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NH,Launches per User Goal,22.83387097,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NJ,Launches per User Goal,34.26645795,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NM,Launches per User Goal,59.79789046,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NV,Launches per User Goal,58.3043095,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NY,Launches per User Goal,40.32503627,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,OH,Launches per User Goal,38.90269414,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,OK,Launches per User Goal,23.63911765,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OR,Starting ARR,38.30307759,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,120% ARR Growth Bonus,37.4426849,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,SD,135% ARR Growth Bonus,67.5499336,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TN,Starting ARR,46.80274959,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,115% ARR Growth Bonus,57.92292808,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,UT,130% ARR Growth Bonus,32.75,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,VA,Starting ARR,62.86443299,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,VI,120% ARR Growth Bonus,30.15629096,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,WA,140% ARR Growth Bonus,47.34092325,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,WI,Starting ARR,38.60463305,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,WV,120% ARR Growth Bonus,12.03325133,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,WY,140% ARR Growth Bonus,79.73646889,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,Starting ARR,1035120,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,110% ARR Growth Bonus,1138632,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,120% ARR Growth Bonus,1242144,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,Starting ARR,1973567,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,110% ARR Growth Bonus,2170924,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,120% ARR Growth Bonus,2368280,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,Starting ARR,641277,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,120% ARR Growth Bonus,769532,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,135% ARR Growth Bonus,865724,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,Starting ARR,311425,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,120% ARR Growth Bonus,373710,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,140% ARR Growth Bonus,435995,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,Starting ARR,109174,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,125% ARR Growth Bonus,136467,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,150% ARR Growth Bonus,163760,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,Starting ARR,6390219,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,105% ARR Growth Bonus,6709729,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,110% ARR Growth Bonus,7029240,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,AZ,Derived Targets Renewal,579471,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,AZ,Derived Targets Upsell,70824,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,AZ,Derived Targets New,218911,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,FL,Derived Targets Renewal,1449655,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,FL,Derived Targets Upsell,177180,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,FL,Derived Targets New,467111,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,GA,Derived Targets Renewal,143829,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,GA,Derived Targets Upsell,17579,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,GA,Derived Targets New,62326,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MI,Derived Targets Renewal,740747,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MI,Derived Targets Upsell,90536,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MI,Derived Targets New,320990,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,Derived Targets Renewal,931608,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,Derived Targets Upsell,113863,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,Derived Targets New,196673,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,Derived Targets Renewal,1776210,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,Derived Targets Upsell,217092,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,Derived Targets New,374977,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,Derived Targets Renewal,577149,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,Derived Targets Upsell,70540,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,Derived Targets New,218034,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,Derived Targets Renewal,280283,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,Derived Targets Upsell,34257,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,Derived Targets New,121456,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,Derived Targets Renewal,98257,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,Derived Targets Upsell,12009,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,Derived Targets New,53494,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,Derived Targets Renewal,5751197,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,Derived Targets Upsell,702924,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,Derived Targets New,575119,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,AZ,Adjusted Renewal,579471,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,AZ,Adjusted Upsell,70824,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,AZ,Adjusted New ,218911,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,FL,Adjusted Renewal,167155,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,FL,Adjusted Upsell,20430,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,FL,Adjusted New ,481361,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,GA,Adjusted Renewal,143829,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,GA,Adjusted Upsell,17579,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,GA,Adjusted New ,62326,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MI,Adjusted Renewal,314822,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MI,Adjusted Upsell,38478,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MI,Adjusted New ,325723,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,Adjusted Renewal,46008,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,Adjusted Upsell,5623,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,Adjusted New ,206513,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,Adjusted Renewal,1776210,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,Adjusted Upsell,217092,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NC,Adjusted New ,374977,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,Adjusted Renewal,577149,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,Adjusted Upsell,70540,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,NY,Adjusted New ,218034,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,Adjusted Renewal,280283,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,Adjusted Upsell,34257,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,OH,Adjusted New ,121456,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,Adjusted Renewal,98257,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,Adjusted Upsell,12009,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,PA,Adjusted New ,53494,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,Adjusted Renewal,6070708,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,Adjusted Upsell,383413,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,TX,Adjusted New ,575119,Non State Program States ,10/27/2025
2025/2026,Pod Targets by Bookings Class,FL,State Contract,1425000,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MI,State Contract,473250,State Program,10/27/2025
2025/2026,Pod Targets by Bookings Class,MS,State Contract,984000,State Program,10/27/2025
2025/2026,Company Wide Targets ,Company,Active Users,2000000,,10/27/2025
2025/2026,Company Wide Targets ,Company,ARR,25800000,,10/27/2025
2025/2026,Company Wide Targets ,Company,GRR,1,,10/27/2025
2025/2026,Company Wide Targets ,Company,NRR,0.9,,10/27/2025
