Salesforce Table,Salesforce Column,Fivetran Table,Fivetran Column,Column Similarity
account,fiscal_title_i_funding__c,account,fiscal_title_i_funding_c,1.0
account,fiscal_title_i_percentage__c,account,fiscal_title_i_percentage_c,1.0
account,fiscal_title_i_school__c,account,fiscal_title_i_school_c,1.0
account,fiscal_title_i_school_yes_no__c,account,fiscal_title_i_school_yes_no_c,1.0
account,fiscal_title_i_schoolwide__c,account,fiscal_title_i_schoolwide_c,1.0
account,fiscal_title_i_schoolwide_yes_no__c,account,fiscal_title_i_schoolwide_yes_no_c,1.0
account,fiscal_title_i_status_text__c,account,fiscal_title_i_status_text_c,1.0
account,free_lunch_students__c,account,free_lunch_students_c,1.0
account,free_reduced_lunch__c,account,free_reduced_lunch_c,1.0
account,future_ready__c,account,future_ready_c,1.0
account,gainsight_customer__c,account,gainsight_customer_c,1.0
account,gainsight_house__c,account,gainsight_house_c,1.0
account,gainsight_recommended_strategy__c,account,gainsight_recommended_strategy_c,1.0
account,gainsight_status__c,account,gainsight_status_c,1.0
account,gong__gong_count__c,account,gong_gong_count_c,1.0
account,google_integration__c,account,google_integration_c,1.0
account,governor__c,account,governor_c,1.0
account,governor_s_party_affiliation__c,account,governor_s_party_affiliation_c,1.0
account,grade_level__c,account,grade_level_c,1.0
account,grade_level_detail__c,account,grade_level_detail_c,1.0
account,grade_levels__c,account,grade_levels_c,1.0
account,grade_range__c,account,grade_range_c,1.0
account,gsid__c,account,gsid_c,1.0
account,has_codesters_child_accounts__c,account,has_codesters_child_accounts_c,1.0
account,hi_speed_classroom_internet__c,account,hi_speed_classroom_internet_c,1.0
account,hi_speed_internet__c,account,hi_speed_internet_c,1.0
account,hml_title_i_funding__c,account,hml_title_i_funding_c,1.0
account,hml_title_i_per_student__c,account,hml_title_i_per_student_c,1.0
account,home_income_level__c,account,home_income_level_c,1.0
account,house_account__c,account,house_account_c,1.0
account,id,account,id,1.0
account,ima_coordinator__c,account,ima_coordinator_c,1.0
account,ima_coordinator_identified__c,account,ima_coordinator_identified_c,1.0
account,implementation_focus_area__c,account,implementation_focus_area_c,1.0
account,implementation_role_s__c,account,implementation_role_s_c,1.0
account,implementation_summary__c,account,implementation_summary_c,1.0
account,implementation_type__c,account,implementation_type_c,1.0
account,industry,account,industry,1.0
account,instructional_leader__c,account,instructional_leader_c,1.0
account,instuid__c,account,inst_uid_c,1.0
account,international_reseller__c,account,international_reseller_c,1.0
account,ipad_schools_percent__c,account,i_pad_schools_percent_c,1.0
account,ipads_for_instruction__c,account,i_pads_for_instruction_c,1.0
account,is_is_current_user__c,account,is_is_current_user_c,1.0
account,isdeleted,account,is_deleted,1.0
account,ispriorityrecord,account,is_priority_record,1.0
account,jigsaw,account,jigsaw,1.0
account,jigsawcompanyid,account,jigsaw_company_id,1.0
account,k_12_enrollment__c,account,k_12_enrollment_c,1.0
account,k_5_enrollment__c,account,k_5_enrollment_c,1.0
account,k_8_district_presence__c,account,k_8_district_presence_c,1.0
account,k_8_enrollment__c,account,k_8_enrollment_c,1.0
account,key_account__c,account,key_account_c,1.0
account,key_state_leaders__c,account,key_state_leaders_c,1.0
account,kindergarten_enrollment__c,account,kindergarten_enrollment_c,1.0
account,known_duplicate__c,account,known_duplicate_c,1.0
account,last_activity_logged_on__c,account,last_activity_logged_on_c,1.0
account,last_name__c,account,last_name_c,1.0
account,lastactivitydate,account,last_activity_date,1.0
account,lastmodifiedbyid,account,last_modified_by_id,1.0
account,lastmodifieddate,account,last_modified_date,1.0
account,lastreferenceddate,account,last_referenced_date,1.0
account,lastvieweddate,account,last_viewed_date,1.0
account,lcom_account__c,account,lcom_account_c,1.0
account,lcom_account_class__c,account,lcom_account_class_c,1.0
account,lcom_account_count__c,account,lcom_account_count_c,1.0
account,lcom_organization__c,account,lcom_organization_c,1.0
account,lcom_organization_count__c,account,lcom_organization_count_c,1.0
account,lcom_organization_district__c,account,lcom_organization_district_c,1.0
account,lcom_organization_has_parent__c,account,lcom_organization_has_parent_c,1.0
account,learndash_code__c,account,learn_dash_code_c,1.0
account,learndash_code_sent__c,account,learn_dash_code_sent_c,1.0
account,learningsbxid__c,account,learning_sbxid_c,1.0
account,les_opp__c,account,les_opp_c,1.0
account,license_consumption__c,account,license_consumption_c,1.0
account,licenses_consumed__c,account,licenses_consumed_c,1.0
account,licenses_provisioned__c,account,licenses_provisioned_c,1.0
account,lifecycle_stage__c,account,lifecycle_stage_c,1.0
account,lms__c,account,lms_c,1.0
account,map_tracker__c,account,map_tracker_c,1.0
account,masterrecordid,account,master_record_id,1.0
account,mdr_number__c,account,mdr_number_c,1.0
account,measures_of_success__c,account,measures_of_success_c,1.0
account,mi_pilot__c,account,mi_pilot_c,1.0
account,migrationtool__c,account,migration_tool_c,1.0
account,multi_tiered_account__c,account,multi_tiered_account_c,1.0
account,name,account,name,1.0
account,name_with_lcom_organization_info__c,account,name_with_lcom_organization_info_c,1.0
account,national_district_id__c,account,national_district_id_c,1.0
account,national_school_id__c,account,national_school_id_c,1.0
account,nc_campaign_owner__c,account,nc_campaign_owner_c,1.0
account,nc_tier_1__c,account,nc_tier_1_c,1.0
account,nces_lea_id__c,account,nces_lea_id_c,1.0
account,nces_unique_id__c,account,nces_unique_id_c,1.0
account,nces_unique_id_for_dedupe__c,account,nces_unique_id_for_dedupe_c,1.0
account,netsuite_account_number__c,account,netsuite_account_number_c,1.0
account,netsuite_id__c,account,net_suite_id_c,1.0
account,netsuite_link__c,account,net_suite_link_c,1.0
account,next_renewal_date__c,account,next_renewal_date_c,1.0
account,no_of_child_account__c,account,no_of_child_account_c,1.0
account,nps_count__c,account,nps_count_c,1.0
account,nps_score__c,account,nps_score_c,1.0
account,nps_sum__c,account,nps_sum_c,1.0
account,num_opps__c,account,num_opps_c,1.0
account,number_of_2020_opps__c,account,number_of_2020_opps_c,1.0
account,number_of_active_codemonkey_subscription__c,account,number_of_active_code_monkey_subscription_c,1.0
account,number_of_active_codesters_subscriptions__c,account,number_of_active_codesters_subscriptions_c,1.0
account,number_of_active_easytech_subscriptions__c,account,number_of_active_easy_tech_subscriptions_c,1.0
account,number_of_active_vidcode_subscriptions__c,account,number_of_active_vidcode_subscriptions_c,1.0
account,number_of_child_customers__c,account,number_of_child_customers_c,1.0
account,number_of_elementary_schools__c,account,number_of_elementary_schools_c,1.0
account,number_of_high_schools__c,account,number_of_high_schools_c,1.0
account,number_of_k_8_buildings__c,account,number_of_k_8_buildings_c,1.0
account,number_of_middle_schools__c,account,number_of_middle_schools_c,1.0
account,number_of_open_opportunities__c,account,number_of_open_opportunities_c,1.0
account,number_of_open_opps__c,account,number_of_open_opps_c,1.0
account,number_of_page_views__c,account,number_of_page_views_c,1.0
account,number_of_renewal_opps__c,account,number_of_renewal_opps_c,1.0
account,number_of_schools__c,account,number_of_schools_c,1.0
account,number_of_sessions__c,account,number_of_sessions_c,1.0
account,number_of_students__c,account,number_of_students_c,1.0
account,number_of_title_i_schools__c,account,number_of_title_i_schools_c,1.0
account,number_of_won_renewal_opportunities__c,account,number_of_won_renewal_opportunities_c,1.0
account,numberofemployees,account,number_of_employees,1.0
account,nyc_school_id__c,account,nyc_school_id_c,1.0
account,of_opps_at_renewal_identified__c,account,of_opps_at_renewal_identified_c,1.0
account,onboarding_date__c,account,onboarding_date_c,1.0
account,open_opportunity_amount__c,account,open_opportunity_amount_c,1.0
account,open_renewal_opportunities__c,account,open_renewal_opportunities_c,1.0
account,org_type__c,account,org_type_c,1.0
account,otc_provisioned__c,account,otc_provisioned_c,1.0
account,otc_provisioned_date__c,account,otc_provisioned_date_c,1.0
account,overall_plan_description__c,account,overall_plan_description_c,1.0
account,owner__c,account,owner_c,1.0
account,owner_id__c,account,owner_id_c,1.0
account,owner_name_text__c,account,owner_name_text_c,1.0
account,ownerid,account,owner_id,1.0
account,ownership,account,ownership,1.0
account,parent_account_owner__c,account,parent_account_owner_c,1.0
account,parent_and_child_match__c,account,parent_and_child_match_c,1.0
account,parent_churned__c,account,parent_churned_c,1.0
account,parent_et_tam__c,account,parent_et_tam_c,1.0
account,parent_gsid__c,account,parent_gsid_c,1.0
account,parent_long_name__c,account,parent_long_name_c,1.0
account,parent_mdr__c,account,parent_mdr_c,1.0
account,parent_name__c,account,parent_name_c,1.0
account,parent_name_proper_case__c,account,parent_name_proper_case_c,1.0
account,parent_owner_id__c,account,parent_owner_id_c,1.0
account,parent_uid__c,account,parent_uid_c,1.0
account,parentid,account,parent_id,1.0
account,pct_afro_amer__c,account,pct_afro_amer_c,1.0
account,pct_asian__c,account,pct_asian_c,1.0
account,pct_hisp__c,account,pct_hisp_c,1.0
account,pct_multi_racial__c,account,pct_multi_racial_c,1.0
account,pct_native__c,account,pct_native_c,1.0
account,pct_pacific__c,account,pct_pacific_c,1.0
account,pct_white__c,account,pct_white_c,1.0
account,pd_training__c,account,pd_training_c,1.0
account,per_student_expenditures__c,account,per_student_expenditures_c,1.0
account,percent_students_ell__c,account,percent_students_ell_c,1.0
account,percent_students_iep__c,account,percent_students_iep_c,1.0
account,phone,account,phone,1.0
account,photourl,account,photo_url,1.0
account,platform_district_name__c,account,platform_district_name_c,1.0
account,platform_name2__c,account,platform_name_2_c,1.0
account,platform_name__c,account,platform_name_c,1.0
account,platform_school_district_id__c,account,platform_school_district_id_c,1.0
account,platform_school_id__c,account,platform_school_id_c,1.0
account,platform_sync__c,account,platform_sync_c,1.0
account,po1__c,account,po_1_c,1.0
account,portal_password__c,account,portal_password_c,1.0
account,portal_url__c,account,portal_url_c,1.0
account,portal_username__c,account,portal_username_c,1.0
account,poverty_percent_under_age_18__c,account,poverty_percent_under_age_18_c,1.0
account,pre_k_enrollment__c,account,pre_k_enrollment_c,1.0
account,previous_meetings_in_district__c,account,previous_meetings_in_district_c,1.0
account,primary_lms__c,account,primary_lms_c,1.0
account,priority_account__c,account,priority_account_c,1.0
account,promotion_awareness_plan__c,account,promotion_awareness_plan_c,1.0
account,prospecting_ended__c,account,prospecting_ended_c,1.0
account,prospecting_started__c,account,prospecting_started_c,1.0
account,prospecting_status__c,account,prospecting_status_c,1.0
account,provisioned_buildings__c,account,provisioned_buildings_c,1.0
account,rating,account,rating,1.0
account,record_type__c,account,record_type_c,1.0
account,reduced_lunch_student__c,account,reduced_lunch_student_c,1.0
account,reference_accounts__c,account,reference_accounts_c,1.0
account,referencecustomer__c,account,reference_customer_c,1.0
account,related__c,account,related_c,1.0
account,related_activity__c,account,related_activity_c,1.0
account,renewal_forecast_segment__c,account,renewal_forecast_segment_c,1.0
account,resa_name__c,account,resa_name_c,1.0
account,resa_name_proper__c,account,resa_name_proper_c,1.0
account,resa_uid__c,account,resa_uid_c,1.0
account,reseller__c,account,reseller_c,1.0
account,rpm_owner__c,account,rpm_owner_c,1.0
account,rpm_user_id__c,account,rpm_user_id_c,1.0
account,sales_owner_field__c,account,sales_owner_field_c,1.0
account,sales_support_rep__c,account,sales_support_rep_c,1.0
account,sbqq__assetquantitiescombined__c,account,sbqq_asset_quantities_combined_c,1.0
account,sbqq__contractcotermination__c,account,sbqq_contract_co_termination_c,1.0
account,sbqq__cotermedcontractscombined__c,account,sbqq_co_termed_contracts_combined_c,1.0
account,sbqq__coterminationevent__c,account,sbqq_co_termination_event_c,1.0
account,sbqq__defaultopportunity__c,account,sbqq_default_opportunity_c,1.0
account,sbqq__ignoreparentcontractedprices__c,account,sbqq_ignore_parent_contracted_prices_c,1.0
account,sbqq__preservebundle__c,account,sbqq_preserve_bundle_c,1.0
account,sbqq__priceholdend__c,account,sbqq_price_hold_end_c,1.0
account,sbqq__renewalmodel__c,account,sbqq_renewal_model_c,1.0
account,sbqq__renewalpricingmethod__c,account,sbqq_renewal_pricing_method_c,1.0
account,sbqq__taxexempt__c,account,sbqq_tax_exempt_c,1.0
account,school_enrollment__c,account,school_enrollment_c,1.0
account,school_funding_type__c,account,school_funding_type_c,1.0
account,school_id__c,account,school_id_c,1.0
account,school_type__c,account,school_type_c,1.0
account,school_year_end__c,account,school_year_end_c,1.0
account,school_year_start__c,account,school_year_start_c,1.0
account,schools_in_district__c,account,schools_in_district_c,1.0
account,sdr_owner__c,account,sdr_owner_c,1.0
account,sf_test__c,account,sf_test_c,1.0
account,sic,account,sic,1.0
account,sicdesc,account,sic_desc,1.0
account,sis_system__c,account,sis_system_c,1.0
account,site,account,site,1.0
account,sourcesystemidentifier,account,source_system_identifier,1.0
account,standard_curriculum__c,account,standard_curriculum_c,1.0
account,standardized_curriculum__c,account,standardized_curriculum_c,1.0
account,start_date__c,account,start_date_c,1.0
account,state_eligible_or_initiative__c,account,state_eligible_or_initiative_c,1.0
account,state_initiative__c,account,state_initiative_c,1.0
account,state_profile__c,account,state_profile_c,1.0
account,state_program_eligible__c,account,state_program_eligible_c,1.0
account,student_information_system_sis__c,account,student_information_system_sis_c,1.0
account,student_tam__c,account,student_tam_c,1.0
account,support_level__c,account,support_level_c,1.0
account,sync__c,account,sync_c,1.0
account,sync_district__c,account,sync_district_c,1.0
account,sync_method__c,account,sync_method_c,1.0
account,sync_update__c,account,sync_update_c,1.0
account,syncing_district__c,account,syncing_district_c,1.0
account,systemmodstamp,account,system_modstamp,1.0
account,target_account__c,account,target_account_c,1.0
account,target_level__c,account,target_level_c,1.0
account,teachers_in_building__c,account,teachers_in_building_c,1.0
account,technology_equipment__c,account,technology_equipment_c,1.0
account,technology_index__c,account,technology_index_c,1.0
account,technology_measure__c,account,technology_measure_c,1.0
account,technology_supplies_and_purchases__c,account,technology_supplies_and_purchases_c,1.0
account,technology_used__c,account,technology_used_c,1.0
account,territory__c,account,territory_c,1.0
account,territory_list__c,account,territory_list_c,1.0
account,territory_reassignment_2024__c,account,territory_reassignment_2024_c,1.0
account,test_account__c,account,test_account_c,1.0
account,texas_education_service_centers__c,account,texas_education_service_centers_c,1.0
account,texas_regional_esc__c,account,texas_regional_esc_c,1.0
account,tickersymbol,account,ticker_symbol,1.0
account,tieredservicelevel__c,account,tiered_service_level_c,1.0
account,time_zone__c,account,time_zone_c,1.0
account,time_zone_raw__c,account,time_zone_raw_c,1.0
account,time_zone_transformed__c,account,time_zone_transformed_c,1.0
account,title_iv_funding_21st_century_grants__c,account,title_iv_funding_21_st_century_grants_c,1.0
account,title_iv_funding_student_support__c,account,title_iv_funding_student_support_c,1.0
account,top_75_account__c,account,top_75_account_c,1.0
account,total_launches__c,account,total_launches_c,1.0
account,total_no_of_training_sessions__c,account,total_no_of_training_sessions_c,1.0
account,total_number_of_schools__c,account,total_number_of_schools_c,1.0
account,total_renewal_arr__c,account,total_renewal_arr_c,1.0
account,totalcreditspurchased__c,account,total_credits_purchased_c,1.0
account,trend_district_revenue__c,account,trend_district_revenue_c,1.0
account,trend_enrollment__c,account,trend_enrollment_c,1.0
account,trend_federal_revenue__c,account,trend_federal_revenue_c,1.0
account,trend_instructional_expenditures__c,account,trend_instructional_expenditures_c,1.0
account,trend_local_revenue__c,account,trend_local_revenue_c,1.0
account,trend_state_revenue__c,account,trend_state_revenue_c,1.0
account,trend_title_i_revenue__c,account,trend_title_i_revenue_c,1.0
account,tx_proc_2024_activities__c,account,tx_proc_2024_activities_c,1.0
account,type,account,type,1.0
account,ultimate_account_lifecycle_stage__c,account,ultimate_account_lifecycle_stage_c,1.0
account,ultimate_account_owner__c,account,ultimate_account_owner_c,1.0
account,ultimate_parent_account__c,account,ultimate_parent_account_c,1.0
account,ultimate_parent_billing_state__c,account,ultimate_parent_billing_state_c,1.0
account,ultimate_parent_total_renewal_arr_2__c,account,ultimate_parent_total_renewal_arr_2_c,1.0
account,ultimateparentid__c,account,ultimate_parent_id_c,1.0
account,urban_rural__c,account,urban_rural_c,1.0
account,user_is_nc_owner__c,account,user_is_nc_owner_c,1.0
account,userid__c,account,userid_c,1.0
account,vidcode_arr__c,account,vidcode_arr_c,1.0
account,vidcode_customer_2__c,account,vidcode_customer_2_c,1.0
account,vidcode_org_id__c,account,vidcode_org_id_c,1.0
account,vidcode_sfdc_id__c,account,vidcode_sfdc_id_c,1.0
account,virtual_school__c,account,virtual_school_c,1.0
account,virtual_status_text__c,account,virtual_status_text_c,1.0
account,website,account,website,1.0
account,x10th_grade_enrollment__c,account,x_10_th_grade_enrollment_c,1.0
account,x11th_grade_enrollment__c,account,x_11_th_grade_enrollment_c,1.0
account,x12th_grade_enrollment__c,account,x_12_th_grade_enrollment_c,1.0
account,x18_digit_parent_account__c,account,x_18_digit_parent_account_c,1.0
account,x18_digit_sfdc_account_id__c,account,x_18_digit_sfdc_account_id_c,1.0
account,x18_digit_ultimate_parent_account_id__c,account,x_18_digit_ultimate_parent_account_id_c,1.0
account,x1_1__c,account,x_1_1_c,1.0
account,x1_1_computing__c,account,x_1_1_computing_c,1.0
account,x2020_nc_campaign_status__c,account,x_2020_nc_campaign_status_c,1.0
account,x2020_service_purchased__c,account,x_2020_service_purchased_c,1.0
account,x2020_training_utilized__c,account,x_2020_training_utilized_c,1.0
account,x21csa_eol__c,account,x_21_csa_eol_c,1.0
account,x21st_century_school_grant__c,account,x_21_st_century_school_grant_c,1.0
account,x2nd_grade_enrollment__c,account,x_2_nd_grade_enrollment_c,1.0
account,x3plms__c,account,x_3_plms_c,1.0
account,x3rd_grade_enrollment__c,account,x_3_rd_grade_enrollment_c,1.0
account,x4th_grade_enrollment__c,account,x_4_th_grade_enrollment_c,1.0
account,x6th_grade_enrollment__c,account,x_6_th_grade_enrollment_c,1.0
account,x7th_grade_enrollment__c,account,x_7_th_grade_enrollment_c,1.0
account,x9th_grade_enrollment__c,account,x_9_th_grade_enrollment_c,1.0
account,zendesk_domain__c,account,zendesk_domain_c,1.0
account,zendesk_id__c,account,zendesk_id_c,1.0
agileed__fieldmapping__c,agileed__data_type__c,agileed_fieldmapping_c,agileed_data_type_c,1.0
